FEATURE_ID,FEATURE_NAME,FEATURE_CLASS,STATE_ALPHA,COUNTY_NAME,PRIM_LAT_DEC,PRIM_LONG_DEC,ELEV_IN_M,MAP_NAME
598564,Nells Pond,Lake,MA,Essex,42.5073088,-70.9957504,53,Salem
598565,Pleasant Pond,Lake,MA,Essex,42.613835,-70.8951417,10,Salem
598566,Cedar Point,Cape,MA,Plymouth,42.2070458,-70.7167072,4,Scituate
598567,Peaked Hill,Summit,MA,Dukes,41.3565018,-70.7389169,82,Squibnocket
598568,Quahog Pond,Lake,MA,Barnstable,41.5887984,-70.6397668,0,Woods Hole
598569,Eastland Heights,Populated Place,MA,Plymouth,41.8501051,-70.545308,19,Sagamore
598570,Gibbs Bog,Swamp,MA,Plymouth,41.7751051,-70.6022535,7,Sagamore
598571,Bourne Pond,Lake,MA,Barnstable,41.7489875,-70.6007888,0,Pocasset
598572,Featherbed Swamp,Swamp,MA,Barnstable,41.9787435,-70.0200094,3,Wellfleet
598573,Jeremy Point,Bar,MA,Barnstable,41.8851063,-70.0702989,0,Wellfleet
598574,Wellfleet by the Sea,Populated Place,MA,Barnstable,41.9298277,-69.9786319,23,Wellfleet
598575,Money Head,Cape,MA,Barnstable,41.7514991,-69.953627,1,Orleans
598576,Quaise Point,Cape,MA,Nantucket,41.3042885,-70.0244592,0,Siasconset
598577,Millbrook Creek,Stream,MA,Nantucket,41.2984553,-70.0194591,1,Siasconset
598579,Clark School,School,MA,Essex,42.4750962,-70.9167154,8,Lynn
598580,Mount Pleasant Hospital,School,MA,Essex,42.4706518,-70.9583831,14,Lynn
598581,Saint Mary Regional Junior-Senior High School,School,MA,Essex,42.4625963,-70.9494939,7,Lynn
598582,Cobbet Junior High School,School,MA,Essex,42.4662074,-70.9433826,14,Lynn
598583,Lynn Woods School,School,MA,Essex,42.4962068,-70.971717,40,Lynn
598584,Highland School,School,MA,Essex,42.4709294,-70.9628276,14,Lynn
598585,Lynn Vocational Technical Institute,School,MA,Essex,42.4587075,-70.9542161,6,Lynn
598586,Washington Community School,School,MA,Essex,42.4612074,-70.9536606,6,Lynn
598587,William P Connery School,School,MA,Essex,42.4600963,-70.9619941,7,Lynn
598588,Ingalls School,School,MA,Essex,42.4709295,-70.9369936,15,Lynn
598589,E J Harrington School,School,MA,Essex,42.4639852,-70.9400492,13,Lynn
598590,Brickett Elementary School,School,MA,Essex,42.4659296,-70.9319935,14,Lynn
598591,Thurgood Marshall Middle School,School,MA,Essex,42.4737073,-70.9328269,11,Lynn
598592,Aborn School,School,MA,Essex,42.4792628,-70.9317158,12,Lynn
598593,Burrill School,School,MA,Essex,42.4625963,-70.9458827,5,Lynn
